Q1 HHHHHHHHHHHHHHHHHHHHHHHHHHHHH?
Q2 BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
Q3 CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
Q4 DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
Q5 EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE
Q6 HHHHHHHHHHHHHHHHHHHHHHHHHHHHH?
Q7 BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
Q8 CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
Q9  DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
Q10 EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE
Q11 HHHHHHHHHHHHHHHHHHHHHHHHHHHHH?
Q12 BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
Q13 CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
Q14 DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
Q15 EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE
Q16 HHHHHHHHHHHHHHHHHHHHHHHHHHHHH?
Q17 BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
Q18 CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
Q19 DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
Q20 EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE
Q21 HHHHHHHHHHHHHHHHHHHHHHHHHHHHH?
Q22 BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
Q23 CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
Q24 DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
Q25 EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE
Q26 HHHHHHHHHHHHHHHHHHHHHHHHHHHHH?
Q27 BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
Q28 CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
Q29 DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
Q30 EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE
Q31 HHHHHHHHHHHHHHHHHHHHHHHHHHHHH?
Q32 BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB
Q33 CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
Q34 DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
Q35 EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE
